frame_indices,x_coords,y_coords,contrasts,masses_kDa,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,7.454161825869275049e+01,1.389141291735519346e+01,-8.693786844911030251e-03,2.337932135415625226e+02,7.516218799336005230e-02,0.000000000000000000e+00,8.713446818168884889e+00,1.000000000000000000e+00
5.000000000000000000e+00,5.471797462243749521e+01,1.943456397450154682e+01,-5.048176322610343526e-03,1.393069741613532244e+02,4.444787510680685561e-01,0.000000000000000000e+00,8.536116510315558514e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.316377676775328709e+01,2.283166371128108096e+01,-2.277871977370315298e-02,5.988438233703321885e+02,1.691361496670162889e-02,0.000000000000000000e+00,1.744394861629670501e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.088057245740638024e+02,2.904999483833255880e+01,-8.809539792939330427e-03,2.367932764088006650e+02,1.893618880696701368e-01,0.000000000000000000e+00,4.332782590918160537e+00,1.000000000000000000e+00
5.000000000000000000e+00,7.739610191956249707e+01,3.595460764468585779e+01,-4.348445742231392408e-02,1.135491189303375450e+03,1.196523648444436372e-02,0.000000000000000000e+00,8.691892613253834554e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.102899736007366869e+02,4.561629855881538731e+01,-3.787405213641777818e-02,9.900817733439783979e+02,1.937369182174686344e-02,0.000000000000000000e+00,9.199192965675074163e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.316383262961062997e+02,4.687642745502455455e+01,-3.665757114804270300e-02,9.585532507094367247e+02,9.562812066142178935e-03,0.000000000000000000e+00,7.374419500842876118e+00,1.000000000000000000e+00
5.000000000000000000e+00,5.089701231798242986e+01,5.228082306239838317e+01,-1.429775708832241657e-02,3.790358472950936743e+02,2.197024928858394288e-01,0.000000000000000000e+00,9.691479996299891653e+00,1.000000000000000000e+00
6.000000000000000000e+00,1.424401484571842786e+02,1.963399246154906308e+01,-9.606288980262597810e-03,2.574432701420599869e+02,6.978627419315752700e-02,0.000000000000000000e+00,1.273933404687402948e+01,1.000000000000000000e+00
6.000000000000000000e+00,5.254196591882972456e+01,4.272996382514959635e+01,-6.386655022959385891e-03,1.739974102660524125e+02,3.499443828076747032e-01,0.000000000000000000e+00,6.985342779280356851e+00,1.000000000000000000e+00
