frame_indices,x_coords,y_coords,contrasts,masses_kDa,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,7.922137829493462391e+01,5.010026589086918669e+00,-7.446094498106437497e-03,2.014557608619944631e+02,4.210201285140393601e-01,0.000000000000000000e+00,1.547668563755809679e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.186996779435027918e+02,1.161570654181709905e+01,-4.084961919719505563e-02,1.067201953867003340e+03,2.209423526600373666e-02,0.000000000000000000e+00,3.536982009472531274e+00,1.000000000000000000e+00
5.000000000000000000e+00,4.365623297707915640e+01,1.588921946519095840e+01,-9.504875766667716594e-03,2.548148617815324712e+02,1.469561192745562073e-01,0.000000000000000000e+00,5.530605125454231441e+00,1.000000000000000000e+00
5.000000000000000000e+00,6.648375463931100171e+01,3.759489700225290676e+01,-1.361714826902494374e-02,3.613959575068014374e+02,1.245900029222160033e-01,0.000000000000000000e+00,1.490414050591322059e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.240389424111560146e+02,4.426331605548811154e+01,-8.187556427615710550e-03,2.206728299741147055e+02,1.823803793357849923e-01,0.000000000000000000e+00,9.871784981203546749e+00,1.000000000000000000e+00
5.000000000000000000e+00,5.511048038150163109e+01,4.742143159118721485e+01,-8.674403563807737277e-03,2.332908413525707658e+02,1.829448325910185691e-01,0.000000000000000000e+00,9.882872137823770942e+00,1.000000000000000000e+00
5.000000000000000000e+00,7.394987015707614830e+01,5.049414206913142067e+01,-1.307795057874909794e-01,3.397987631554637574e+03,1.051332842354935071e-02,0.000000000000000000e+00,1.490414050591322059e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.481872900641181268e+01,5.093281646593726464e+01,-8.509139100996687341e-03,2.290075484723560066e+02,1.011139138799922454e-01,0.000000000000000000e+00,1.159035678411178694e+01,1.000000000000000000e+00
6.000000000000000000e+00,1.414246170374875931e+02,5.043143900589399209e+00,-7.177021655469386675e-03,1.944819821589219089e+02,2.425815287835226819e-01,0.000000000000000000e+00,9.495426813379729936e+00,1.000000000000000000e+00
6.000000000000000000e+00,9.453381616103779095e+01,8.005114149497991605e+00,-8.236727380938453635e-03,2.219472333800149499e+02,2.840871914523276365e-01,0.000000000000000000e+00,8.580670181392218154e+00,1.000000000000000000e+00
6.000000000000000000e+00,1.058210574720056343e+02,2.043920657262708573e+01,-1.022660829140635899e-02,2.735205879373540370e+02,2.548419963274360933e-01,0.000000000000000000e+00,7.446992715330154944e+00,1.000000000000000000e+00
6.000000000000000000e+00,1.100040798456802804e+02,3.027110354418193339e+01,-3.067618538411558647e-03,8.797525461550192460e+01,3.854538695128508774e-01,0.000000000000000000e+00,1.068474961044628557e+01,1.000000000000000000e+00
6.000000000000000000e+00,2.733938201283058334e+01,3.118349967062257733e+01,-1.604871063917263918e-02,4.244167280384525611e+02,7.767911903542434882e-02,0.000000000000000000e+00,8.489334783190006561e+00,1.000000000000000000e+00
6.000000000000000000e+00,9.384503799509283795e+01,1.655809523213526546e+01,-2.854090373002624026e-02,7.481870100106738164e+02,2.506228047208203247e-02,0.000000000000000000e+00,7.697096570272235816e+00,1.000000000000000000e+00
6.000000000000000000e+00,1.285114367776459403e+02,3.090483482773944246e+01,-1.411499390824387697e-02,3.742990259925560395e+02,1.820233217020903460e-01,0.000000000000000000e+00,6.478008050581071764e+00,1.000000000000000000e+00
7.000000000000000000e+00,9.313903922186710815e+01,3.475546639181065700e+01,-1.034728437769423352e-02,2.766482477646213169e+02,2.832145522418175743e-01,0.000000000000000000e+00,6.925555436099935847e+00,1.000000000000000000e+00
7.000000000000000000e+00,3.325476077073591341e+01,4.455134101684733849e+01,-1.028790698874159672e-02,2.751093159034059568e+02,8.439854248881495380e-02,0.000000000000000000e+00,9.958146889132775570e+00,1.000000000000000000e+00
7.000000000000000000e+00,3.954228859065575818e+01,2.097448285511787347e+01,-8.619366122251193377e-03,2.318643914216263795e+02,2.511358746360096150e-01,0.000000000000000000e+00,6.540981742790264342e+00,1.000000000000000000e+00
7.000000000000000000e+00,1.976391671753340518e+01,3.501509602473240790e+01,-8.405603609882628113e-03,2.263241353271753553e+02,3.082741575560286051e-01,0.000000000000000000e+00,7.194105762982855090e+00,1.000000000000000000e+00
7.000000000000000000e+00,8.501839419282055132e+01,3.511845506181123966e+01,-3.307257612817367937e-02,8.656380323798509835e+02,5.286481920777708066e-02,0.000000000000000000e+00,6.677032448532230546e+00,1.000000000000000000e+00
7.000000000000000000e+00,1.211003145149295612e+01,3.966341861427798676e+01,-7.696054779042397348e-03,2.079341838299956180e+02,3.549826396031859899e-01,0.000000000000000000e+00,6.548354952984594135e+00,1.000000000000000000e+00
7.000000000000000000e+00,1.327036323684124284e+02,4.899356833837279623e+01,-9.500788482265027854e-03,2.547089283226166003e+02,3.660637766386273251e-01,0.000000000000000000e+00,6.057456304179836160e+00,1.000000000000000000e+00
8.000000000000000000e+00,3.840221202424559266e+01,5.763968468757455277e+00,-7.876693581204616268e-03,2.126159459101868947e+02,2.335310001651613732e-01,0.000000000000000000e+00,7.664739816278901330e+00,1.000000000000000000e+00
8.000000000000000000e+00,1.291833447495893381e+02,1.512061178085007462e+01,-7.236911997428462258e-03,1.960342086384901563e+02,3.754926907918348933e-01,0.000000000000000000e+00,7.473129989078228341e+00,1.000000000000000000e+00
8.000000000000000000e+00,4.533927959970738186e+01,4.890291631079685430e+01,-1.030322200042190460e-02,2.755062474601052713e+02,3.273147822123549933e-01,0.000000000000000000e+00,6.709505468766811198e+00,1.000000000000000000e+00
9.000000000000000000e+00,4.448937230331515735e+01,1.042172717742505483e+01,-1.558023548765866302e-02,4.122748782607931730e+02,1.504476665225863430e-01,0.000000000000000000e+00,5.530605125454231441e+00,1.000000000000000000e+00
9.000000000000000000e+00,7.006445942830335127e+01,1.748715106525246554e+01,-1.002890853425781464e-02,2.683966432742916481e+02,1.046535073175058894e-01,0.000000000000000000e+00,1.111817309879558557e+01,1.000000000000000000e+00
9.000000000000000000e+00,1.255372749461615598e+02,2.514992825130098097e+01,-1.053873267737401136e-02,2.816101683433072367e+02,2.376544209710406141e-01,0.000000000000000000e+00,6.478008050581071764e+00,1.000000000000000000e+00
9.000000000000000000e+00,7.596714838060280250e+00,3.491885058998004610e+01,-1.507338693500782055e-02,3.991384739788959450e+02,1.849196778535072694e-01,0.000000000000000000e+00,6.548354952984594135e+00,1.000000000000000000e+00
9.000000000000000000e+00,9.389154348680959572e+01,5.134687600749069958e+01,-3.561785692486604815e-02,9.316061354383076605e+02,7.461253804410006296e-02,0.000000000000000000e+00,3.851874959584229430e+00,1.000000000000000000e+00
9.000000000000000000e+00,1.401728713340660590e+02,1.894435087149581065e+01,-9.518216321251276799e-03,2.551606197351417222e+02,2.204718810504124882e-01,0.000000000000000000e+00,6.984503448833000228e+00,1.000000000000000000e+00
9.000000000000000000e+00,4.609479078016731179e+00,2.103944815757913034e+01,-2.797073793923791560e-02,7.334095616065492322e+02,2.051148078633158178e-02,0.000000000000000000e+00,1.353807871039614774e+01,1.000000000000000000e+00
9.000000000000000000e+00,5.046355826480379392e+01,2.610026965238105845e+01,-6.968729901274470749e-03,1.890835161331643235e+02,2.570901723213474543e-01,0.000000000000000000e+00,1.206432018749764090e+01,1.000000000000000000e+00
