frame_indices,x_coords,y_coords,contrasts,masses_kDa,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,7.263077468148907201e+01,1.428015527414812880e+01,-4.776645888567868092e-03,1.322695000721687109e+02,1.752342988121056155e-01,0.000000000000000000e+00,1.205044031894732370e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.782838299273494798e+01,1.753843837019423901e+01,-1.772424667793598418e-02,4.678429520632973322e+02,2.954523111219742315e-02,0.000000000000000000e+00,7.835194240303263058e+00,1.000000000000000000e+00
5.000000000000000000e+00,7.007079600499159255e+01,2.605553726610021670e+01,-1.920881088629287220e-02,5.063196045493608040e+02,2.323074683742676338e-02,0.000000000000000000e+00,7.557507128119595130e+00,1.000000000000000000e+00
5.000000000000000000e+00,8.678046344774857346e+01,3.667045514820999585e+01,-1.646366736065226627e-02,4.351714973365748165e+02,1.068699406125741547e-01,0.000000000000000000e+00,4.961228860258554363e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.418154335514651798e+01,4.175738426793574121e+01,-5.689108205633752052e-02,1.482961533900566110e+03,1.170597048689725472e-02,0.000000000000000000e+00,6.689725706589073617e+00,1.000000000000000000e+00
5.000000000000000000e+00,5.640209484407465368e+01,4.992594295056213838e+01,-1.940502809327425762e-02,5.114051247594733809e+02,1.415679787299117809e-02,0.000000000000000000e+00,1.280415803504516781e+01,1.000000000000000000e+00
5.000000000000000000e+00,3.499704871924956961e+01,5.113382154910575395e+01,-1.909400547505812201e-02,5.033440997603236156e+02,1.815924194065132724e-01,0.000000000000000000e+00,1.629360634530500107e+01,1.000000000000000000e+00
6.000000000000000000e+00,4.946761584790479560e+01,8.389701519471840285e+00,-1.968055743148449874e-02,5.185462416854729781e+02,1.898585124179789085e-01,0.000000000000000000e+00,4.342662793000076960e+00,1.000000000000000000e+00
6.000000000000000000e+00,8.691888812897625272e+00,2.254364744624392713e+01,-2.112266519922225902e-02,5.559225162274221930e+02,1.915298351742811267e-02,0.000000000000000000e+00,1.041766018802549709e+01,1.000000000000000000e+00
6.000000000000000000e+00,5.329500706027511825e+01,2.210088313035533147e+01,-1.795978878495579217e-02,4.739476875450095577e+02,7.339908374873205243e-02,0.000000000000000000e+00,7.731000891134764963e+00,1.000000000000000000e+00
6.000000000000000000e+00,1.352261142123592776e+02,3.690233120117898125e+01,-1.881953909875800149e-02,4.962305324787189988e+02,1.784351052166034401e-01,0.000000000000000000e+00,6.742556200897301899e+00,1.000000000000000000e+00
6.000000000000000000e+00,1.404851566612778697e+02,4.112187343259828509e+01,-2.000927242941923437e-02,5.270658144134794156e+02,2.200143725761403157e-01,0.000000000000000000e+00,6.742556200897301899e+00,1.000000000000000000e+00
6.000000000000000000e+00,5.224308966838067647e+01,1.423318155805166363e+01,-2.236045628441472866e-02,5.880033498937614240e+02,1.456194971030522201e-01,0.000000000000000000e+00,6.469120024348585574e+00,1.000000000000000000e+00
7.000000000000000000e+00,8.832107076839136539e+01,1.584611983706947136e+01,-2.715185831573541965e-03,7.884097082407352275e+01,3.068422446981396989e-01,0.000000000000000000e+00,1.172790168076133277e+01,1.000000000000000000e+00
7.000000000000000000e+00,6.096355683376292234e+01,2.112021032545724353e+01,-1.967640026445960019e-02,5.184384970220604600e+02,3.546508099020140303e-02,0.000000000000000000e+00,7.731000891134764963e+00,1.000000000000000000e+00
7.000000000000000000e+00,1.093960954720520533e+02,3.580929982896343233e+01,-1.931224723799342818e-02,5.090004482180987679e+02,1.071281607186016505e-01,0.000000000000000000e+00,6.019858152353350533e+00,1.000000000000000000e+00
8.000000000000000000e+00,2.067560181426442512e+01,4.336350840976221832e+01,-1.842562475155288051e-02,4.860211354305029658e+02,9.537782656697857409e-02,0.000000000000000000e+00,6.689725706589073617e+00,1.000000000000000000e+00
9.000000000000000000e+00,1.122545951672117326e+02,1.331068698818013374e+01,-2.016775391016127975e-02,5.311733072559328548e+02,1.252971464872953966e-02,0.000000000000000000e+00,1.048787577199299292e+01,1.000000000000000000e+00
9.000000000000000000e+00,2.825384475447373234e+01,7.209084955090573565e+00,-1.923533233703857495e-02,5.070069824600125230e+02,2.225228770817727630e-01,0.000000000000000000e+00,5.169371633013845724e+00,1.000000000000000000e+00
9.000000000000000000e+00,1.715650165946178163e+01,9.732104771296450352e+00,-1.933369919155599956e-02,5.095564358660077460e+02,2.526904978202981766e-02,0.000000000000000000e+00,6.925145458397472531e+00,1.000000000000000000e+00
9.000000000000000000e+00,4.938526515471999545e+01,3.921564117624210866e+01,-1.731526200445986791e-02,4.572429651682315921e+02,3.298930791375886962e-02,0.000000000000000000e+00,1.262474147964068827e+01,1.000000000000000000e+00
9.000000000000000000e+00,7.424311812488753048e+01,4.502693580216853064e+01,-2.226067086333298820e-02,5.854171303496522114e+02,2.314409953805937059e-01,0.000000000000000000e+00,5.811108879988093889e+00,1.000000000000000000e+00
9.000000000000000000e+00,7.836572996277277525e+01,4.912242820836402046e+01,-2.044665072726770116e-02,5.384017018587840084e+02,3.913964090584112210e-01,0.000000000000000000e+00,5.811108879988093889e+00,1.000000000000000000e+00
9.000000000000000000e+00,6.671699209701341715e+01,3.282812269106229763e+01,-3.521530772944077292e-02,9.211729420380264628e+02,1.075819133948952011e-02,0.000000000000000000e+00,4.451947164881058683e+00,1.000000000000000000e+00
1.000000000000000000e+01,4.692135418153902293e+01,4.871851087730401986e+00,-1.841279127341606883e-02,4.856885197876914617e+02,7.024292405241605586e-02,0.000000000000000000e+00,4.342662793000076960e+00,1.000000000000000000e+00
1.000000000000000000e+01,9.965735467081853471e+01,1.885150585506701404e+01,-2.180659913367191671e-02,5.736485857171153384e+02,1.021594097737399398e-02,0.000000000000000000e+00,3.723859394861078531e+00,1.000000000000000000e+00
